anime_id,name,genre,type,episodes,rating_x,members,user_id,rating_y
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,27364,9
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,27364,8
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,27364,7
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,27364,10
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,27364,-1
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,27364,-1
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,27364,-1
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,27364,-1
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405,27364,10
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,27364,9
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015,27364,-1
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,27364,-1
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,27364,-1
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,27364,9
25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895,27364,-1
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,27364,-1
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,27364,7
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,27364,7
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,27364,-1
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,27364,-1
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,27364,7
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,27364,9
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,27364,-1
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,27364,-1
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548,27364,9
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,36751,27364,-1
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579,27364,-1
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,27364,7
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,27364,10
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963,27364,-1
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,27364,-1
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,27364,-1
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,27364,9
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,27364,-1
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,27364,-1
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,27364,7
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,27364,8
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056,27364,-1
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,27364,-1
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,27364,-1
1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,29528,27364,9
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,27364,8
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375,27364,-1
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796,27364,7
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268,27364,8
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,47840,27364,-1
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,556431,27364,10
34240,Shelter,"Music, Sci-Fi",Music,1,8.38,71136,27364,-1
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213,27364,-1
1142,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12,8.37,61493,27364,-1
1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103,27364,-1
2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932,27364,7
18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,71820,27364,-1
9890,Major: Message,"Comedy, Drama, Sports",OVA,1,8.36,12282,27364,9
9863,SKET Dance,"Comedy, School, Shounen",TV,77,8.36,101027,27364,-1
7674,Bakuman.,"Comedy, Romance, Shounen",TV,25,8.35,246899,27364,-1
11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914,27364,9
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002,27364,8
31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1,8.34,31856,27364,-1
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036,27364,7
9617,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1,8.34,115252,27364,-1
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,1,8.34,38147,27364,-1
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384,27364,8
10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,158561,27364,7
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662,27364,6
28725,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,1,8.32,59652,27364,-1
16067,Nagi no Asukara,"Drama, Fantasy, Romance",TV,26,8.32,224947,27364,-1
30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946,27364,8
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.31,88164,27364,-1
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13,8.31,222994,27364,-1
1519,Black Lagoon: The Second Barrage,"Action, Seinen",TV,12,8.3,203233,27364,9
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690,27364,10
16706,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,142612,27364,-1
22507,Initial D Final Stage,"Cars, Seinen, Sports",TV,4,8.29,19702,27364,-1
265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1,8.28,40623,27364,-1
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28,91796,27364,-1
4722,Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,25,8.28,134818,27364,10
24277,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,24,8.28,50778,27364,-1
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828,27364,-1
23327,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,13,8.27,60918,27364,-1
3702,Detroit Metal City,"Comedy, Music",OVA,12,8.26,104893,27364,-1
7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,8.26,391628,27364,10
2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334,27364,-1
18689,Diamond no Ace,"Comedy, School, Shounen, Sports",TV,75,8.25,81384,27364,-1
23623,Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life",TV,12,8.26,64230,27364,-1
1559,Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,50,8.25,129112,27364,-1
23289,Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",TV,12,8.24,292622,27364,-1
18,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,24,8.24,41584,27364,9
14513,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513,27364,-1
1827,Seirei no Moribito,"Action, Adventure, Fantasy, Historical",TV,26,8.24,106888,27364,-1
25013,Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,8.23,216674,27364,-1
1974,Glass no Kamen (2005),"Drama, Shoujo",TV,51,8.23,17038,27364,-1
8425,Gosick,"Drama, Historical, Mystery, Romance",TV,24,8.23,232113,27364,10
12069,Hajime no Ippo: Boxer no Kobushi,"Comedy, Drama, Shounen, Sports",Special,1,8.23,20157,27364,-1
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",TV,26,8.23,68128,27364,9
18679,Kill la Kill,"Action, Comedy, School, Super Power",TV,24,8.23,508118,27364,-1
2034,Lovely★Complex,"Comedy, Romance, Shoujo",TV,24,8.23,235003,27364,8
721,Princess Tutu,"Comedy, Fantasy, Magic, Romance",TV,38,8.23,73218,27364,8
6702,Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,8.22,584590,27364,-1
31741,Magi: Sinbad no Bouken (TV),"Action, Adventure, Fantasy, Magic, Shounen",TV,13,8.22,73480,27364,-1
440,Shoujo Kakumei Utena,"Drama, Fantasy, Psychological, Shoujo",TV,39,8.22,77464,27364,8
2759,Evangelion: 1.0 You Are (Not) Alone,"Action, Mecha, Sci-Fi",Movie,1,8.21,194561,27364,-1
72,Full Metal Panic? Fumoffu,"Action, Comedy, School",TV,12,8.21,171086,27364,7
11597,Nisemonogatari,"Comedy, Mystery, Supernatural",TV,11,8.21,260062,27364,9
28025,Tsukimonogatari,"Comedy, Mystery, Supernatural",TV,4,8.21,111009,27364,-1
24833,Ansatsu Kyoushitsu (TV),"Action, Comedy, School, Shounen",TV,22,8.2,312654,27364,-1
27663,Baby Steps 2nd Season,"Romance, School, Shounen, Sports",TV,25,8.2,36251,27364,-1
1482,D.Gray-man,"Action, Adventure, Comedy, Shounen",TV,103,8.2,334399,27364,-1
25313,Gintama: Jump Festa 2014 Special,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.2,13764,27364,-1
237,Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50,8.19,239570,27364,-1
10643,Gintama: Dai Hanseikai,"Action, Comedy, Parody, Samurai",Special,1,8.19,14728,27364,-1
17739,Hidamari Sketch: Sae Hiro Sotsugyou-hen,"Comedy, School, Slice of Life",OVA,2,8.19,5959,27364,-1
6045,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",TV,25,8.19,309339,27364,8
16001,Kokoro Connect: Michi Random,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",Special,4,8.19,106989,27364,8
6211,Tokyo Magnitude 8.0,Drama,TV,11,8.19,121349,27364,-1
232,Cardcaptor Sakura,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",TV,70,8.18,181249,27364,-1
4789,ef: A Tale of Melodies.,"Drama, Mystery, Romance, Supernatural",TV,12,8.18,103657,27364,-1
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance",TV,24,8.18,130646,27364,-1
24997,Love Live! The School Idol Movie,"Music, School, Slice of Life",Movie,1,8.18,38118,27364,-1
25879,Working!!!,"Comedy, Romance, Slice of Life",TV,13,8.18,80763,27364,-1
889,Black Lagoon,"Action, Seinen",TV,12,8.17,332562,27364,9
934,Higurashi no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller",TV,26,8.17,359494,27364,6
12189,Hyouka,"Mystery, School, Slice of Life",TV,22,8.17,372246,27364,9
1530,Kanon (2006),"Drama, Romance, Slice of Life, Supernatural",TV,24,8.17,163171,27364,8
9656,Kimi ni Todoke 2nd Season,"Romance, School, Shoujo, Slice of Life",TV,12,8.17,171866,27364,8
20507,Noragami,"Action, Adventure, Shounen, Supernatural",TV,12,8.17,515378,27364,-1
14075,Zetsuen no Tempest,"Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",TV,24,8.17,259900,27364,-1
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153,8.16,316102,27364,7
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45,8.16,66646,27364,-1
5029,Major Movie: Yuujou no Winning Shot,"Action, Shounen, Sports",Movie,1,8.16,9943,27364,8
21647,Tamako Love Story,"Comedy, Romance, Slice of Life",Movie,1,8.16,72708,27364,-1
16049,Toaru Kagaku no Railgun S,"Action, Sci-Fi, Super Power",TV,24,8.16,137105,27364,-1
18179,Yowamushi Pedal,"Comedy, Drama, Shounen, Sports",TV,38,8.16,91138,27364,-1
47,Akira,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Movie,1,8.15,215897,27364,8
4901,Black Lagoon: Roberta&#039;s Blood Trail,"Action, Seinen",OVA,5,8.15,108099,27364,9
23199,Durarara!!x2 Shou,"Action, Mystery, Supernatural",TV,12,8.15,189407,27364,-1
4053,Prince of Tennis: The National Tournament Finals,"Comedy, School, Shounen, Sports",OVA,7,8.15,21020,27364,-1
846,School Rumble Ni Gakki,"Comedy, Romance, School, Shounen",TV,26,8.15,93095,27364,7
4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","Drama, Romance, School, Slice of Life",Special,1,8.14,160423,27364,8
15059,Initial D Fifth Stage,"Action, Cars, Drama, Seinen, Sports",TV,14,8.14,26711,27364,9
7791,K-On!!,"Comedy, Music, School, Slice of Life",TV,26,8.14,246276,27364,10
17265,Log Horizon,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,8.14,387100,27364,-1
535,Slayers Next,"Adventure, Comedy, Demons, Fantasy, Magic",TV,26,8.14,39832,27364,7
2951,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,"Action, Comedy, Historical, Mecha, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.13,29331,27364,-1
14713,Kamisama Hajimemashita,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,13,8.13,189641,27364,-1
14807,Kara no Kyoukai: Mirai Fukuin,"Drama, Mystery, Seinen, Supernatural",Movie,1,8.13,41168,27364,-1
81,Mobile Suit Gundam: The 08th MS Team,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,8.13,34177,27364,8
24921,Aoki Hagane no Arpeggio: Ars Nova Cadenza,"Action, Sci-Fi, Seinen",Movie,1,8.12,12353,27364,-1
27831,Durarara!!x2 Ten,"Action, Mystery, Supernatural",TV,12,8.12,132506,27364,-1
2924,ef: A Tale of Memories.,"Drama, Mystery, Romance",TV,12,8.12,151106,27364,-1
4672,Ghost in the Shell 2.0,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.12,51789,27364,8
186,Initial D Second Stage,"Action, Cars, Drama, Seinen, Sports",TV,13,8.12,45825,27364,9
10080,Kami nomi zo Shiru Sekai II,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.12,194300,27364,10
9941,Tiger &amp; Bunny,"Action, Comedy, Mystery, Super Power",TV,25,8.12,104075,27364,8
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Comedy, Drama, Romance, School",TV,13,8.12,353876,27364,-1
21855,Hanamonogatari,"Comedy, Mystery, Supernatural",TV,5,8.11,124886,27364,-1
28297,Ore Monogatari!!,"Comedy, Romance, Shoujo",TV,24,8.11,200833,27364,-1
7711,Karigurashi no Arrietty,Fantasy,Movie,1,8.1,97910,27364,8
32093,Tanaka-kun wa Itsumo Kedaruge,"Comedy, School, Slice of Life",TV,12,8.1,101335,27364,-1
7338,Darker than Black: Kuro no Keiyakusha Gaiden,"Action, Mystery, Sci-Fi, Super Power",Special,4,8.09,136135,27364,-1
5781,Isekai no Seikishi Monogatari,"Action, Comedy, Ecchi, Fantasy, Harem, Mecha, School",OVA,13,8.09,72021,27364,8
5678,Kobato.,"Comedy, Drama, Fantasy",TV,24,8.09,88986,27364,-1
995,Prince of Tennis: The National Tournament,"Action, Comedy, Shounen, Sports",OVA,13,8.09,25170,27364,-1
2752,Prince of Tennis: The National Tournament Semifinals,"Action, Comedy, Sports",OVA,6,8.09,21186,27364,-1
15,Eyeshield 21,"Action, Comedy, Shounen, Sports",TV,145,8.08,83648,27364,9
29095,Grisaia no Rakuen,"Drama, Harem, Psychological, Romance",TV,10,8.08,111962,27364,-1
1594,Jigoku Shoujo Futakomori,"Horror, Mystery, Psychological, Supernatural",TV,26,8.08,79816,27364,-1
10721,Mawaru Penguindrum,"Comedy, Drama, Mystery, Psychological",TV,24,8.08,156689,27364,-1
3588,Soul Eater,"Action, Adventure, Comedy, Fantasy, Shounen, Supernatural",TV,51,8.08,580184,27364,10
387,Haibane Renmei,"Drama, Fantasy, Mystery, Psychological, Slice of Life",TV,13,8.07,120731,27364,-1
16916,Kuroko no Basket: Tip Off,"Comedy, School, Shounen, Sports",Special,1,8.07,41760,27364,9
10620,Mirai Nikki (TV),"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,26,8.07,657190,27364,9
22319,Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,8.07,618056,27364,-1
11113,Usagi Drop Specials,"Josei, Slice of Life",Special,4,8.07,36351,27364,8
6586,Yume-iro Pâtissière,"Kids, School, Shoujo",TV,50,8.07,36921,27364,7
66,Azumanga Daioh,"Comedy, School, Slice of Life",TV,26,8.06,170901,27364,7
227,FLCL,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",OVA,6,8.06,305165,27364,7
73,Full Metal Panic! The Second Raid,"Action, Mecha, Military",TV,13,8.06,155340,27364,8
4898,Kuroshitsuji,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,24,8.06,424919,27364,8
19111,Love Live! School Idol Project 2nd Season,"Music, School, Slice of Life",TV,13,8.06,91864,27364,-1
15689,Nekomonogatari: Kuro,"Comedy, Romance, Supernatural",TV,4,8.06,173264,27364,-1
24,School Rumble,"Comedy, Romance, School, Shounen",TV,26,8.06,178553,27364,7
849,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,8.06,428569,27364,8
268,Golden Boy,"Adventure, Comedy, Ecchi",OVA,6,8.05,113040,27364,-1
29093,Grisaia no Meikyuu: Caprice no Mayu 0,Drama,Special,1,8.05,70039,27364,-1
17549,Non Non Biyori,"Comedy, School, Seinen, Slice of Life",TV,12,8.05,133475,27364,-1
9513,Beelzebub,"Action, Comedy, Demons, School, Shounen, Supernatural",TV,60,8.04,217752,27364,-1
14353,Death Billiards,"Drama, Game, Mystery, Psychological, Thriller",Movie,1,8.04,95690,27364,9
8408,Durarara!! Specials,"Action, Comedy, Supernatural",Special,2,8.04,103105,27364,9
29803,Overlord,"Action, Adventure, Fantasy, Game, Magic, Supernatural",TV,13,8.04,244268,27364,-1
22,Prince of Tennis,"Action, Comedy, School, Shounen, Sports",TV,178,8.04,87643,27364,8
30279,Yuru Yuri San☆Hai!,"Comedy, School, Shoujo Ai, Slice of Life",TV,12,8.04,44335,27364,-1
9289,Hanasaku Iroha,"Comedy, Drama, Seinen, Slice of Life",TV,26,8.03,150393,27364,10
15809,Hataraku Maou-sama!,"Comedy, Demons, Fantasy, Romance, Shounen",TV,13,8.03,409037,27364,10
27989,Hibike! Euphonium,"Drama, Music, School",TV,13,8.03,134694,27364,-1
5630,Higashi no Eden,"Action, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",TV,11,8.03,276593,27364,-1
30831,Kono Subarashii Sekai ni Shukufuku wo!,"Adventure, Comedy, Fantasy, Supernatural",TV,10,8.03,244877,27364,-1
85,Mobile Suit Zeta Gundam,"Drama, Mecha, Military, Sci-Fi, Space",TV,50,8.03,28959,27364,9
30240,Prison School,"Comedy, Ecchi, Romance, School, Seinen",TV,12,8.03,227734,27364,-1
2605,Sayonara Zetsubou Sensei,"Comedy, Parody, School",TV,12,8.03,174531,27364,-1
4163,Seto no Hanayome OVA,"Comedy, Parody, Romance, School",OVA,2,8.03,31973,27364,8
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","Drama, Romance, School",Special,1,8.02,138364,27364,8
